any_restatement,restatement_fraud,restatement_error,restatement_other,restatement_accrules,restatement_chng_netincome,restatement_neg_chng_netincome,gvkey,fyear,cboard,supermajor,ppill,goldenparachute,eindex,sum_own,tobins_q,ln_q,ln_at,debt_ratio,capex,rd_to_at_zero,rd_to_sales_zero,rd_missing,sum_own_sq,return_on_asset,stkname,instown_perc,sector
0,0,0,0,0,0,0,1075,2005,1,0,1,1,3,0,.9510529,-.0501856,9.33456,.2657573,.0570141,0,0,1,0,.0197094,"PINNACLE WEST CAP CORP",.7722846,"Utilities"
0,0,0,0,0,0,0,1075,2006,1,0,1,1,3,0,1.034481,.0338994,9.346264,.2854395,.0662336,0,0,1,0,.0276837,"PINNACLE WEST CAP CORP",.8581092,"Utilities"
0,0,0,0,0,0,0,1075,2007,0,0,1,1,4,0,.9543085,-.0467683,9.327564,.3229858,.0837485,0,0,1,0,.0265731,"PINNACLE WEST CAP CORP",.8090329,"Utilities"
0,0,0,0,0,0,0,1075,2008,0,0,1,0,3,0,.8616392,-.1489187,9.360491,.3338801,.0821333,0,0,1,0,.0183783,"PINNACLE WEST CAP CORP",.7439758,"Utilities"
0,0,0,0,0,0,0,1075,2009,0,0,0,1,3,.397,.9066991,-.0979446,9.376546,.3219751,.0656626,0,0,1,.157609,.0069449,"PINNACLE WEST CAP CORP",.7694812,"Utilities"
0,0,0,0,0,0,0,1075,2010,0,0,0,1,3,.121,.918434,-.0850853,9.42244,.298824,.061892,0,0,1,.014641,.0267289,"PINNACLE WEST CAP CORP",.7044028,"Utilities"
0,0,0,0,0,0,0,1075,2011,0,0,0,1,3,.124,.9631023,-.0375956,9.481208,.2666833,.0688511,0,0,1,.015376,.0250299,"PINNACLE WEST CAPITAL CORP",.7366312,"Utilities"
0,0,0,0,0,0,0,1075,2012,0,0,0,1,3,.241,.9604264,-.0403779,9.501488,.2551711,.0676045,0,0,1,.058081,.0289523,"PINNACLE WEST CAPITAL CORP",.7775584,"Utilities"
0,0,0,0,0,0,0,1075,2013,0,0,0,1,3,.273,.9357538,-.0664029,9.511088,.2583534,.0763348,0,0,1,.074529,.0300602,"PINNACLE WEST CAPITAL CORP",.7952564,"Utilities"
0,0,0,0,0,0,0,1075,2014,0,0,0,1,3,.346,1.029648,.0292171,9.568961,.2488683,.0647004,0,0,1,.119716,.0277776,"PINNACLE WEST CAPITAL CORP",.809781,"Utilities"
0,0,0,0,0,0,0,1075,2015,0,0,0,1,3,.401,.9774804,-.0227771,9.617687,.2541859,.0726861,0,0,1,.160801,.0290957,"PINNACLE WEST CAPITAL CORP",.8031346,"Utilities"
0,0,0,0,0,0,0,1075,2016,0,0,0,1,3,.345,1.045526,.0445201,9.68061,.2701772,.0809436,0,0,1,.119025,.0276198,"PINNACLE WEST CAPITAL CORP",.8273716,"Utilities"
0,0,0,0,0,0,0,1075,2017,0,0,0,1,3,.184,1.153708,.1429809,9.74209,.2918555,.0840754,0,0,1,.033856,.0287005,"PINNACLE WEST CAPITAL CORP",.7922645,"Utilities"
0,0,0,0,0,0,0,1075,2018,0,0,0,1,3,.153,1.131359,.1234194,9.779295,.2952091,.0681236,0,0,1,.023409,.0289312,"PINNACLE WEST CAPITAL CORP",.8072583,"Utilities"
0,0,0,0,0,0,0,1076,2009,0,0,0,0,2,10.146,1.342872,.2948103,7.18649,.0416541,.0629154,0,0,1,102.9413,.0854194,"AARONS INC",.2528231,"Business Services"
0,0,0,0,0,0,0,1076,2010,0,0,0,0,2,8.764999,1.283637,.2496978,7.314601,.0278216,.0583434,0,0,1,76.82521,.0788085,"AARONS INC",.9224806,"Business Services"
0,0,0,0,0,0,0,1076,2011,1,0,0,0,3,6.73,1.434867,.3610722,7.458848,.0886316,.0450745,0,0,1,45.2929,.0655661,"AARONS INC",.842425,"Business Services"
0,0,0,0,0,0,0,1076,2012,1,0,0,0,3,3.071,1.409015,.3428907,7.502699,.0780659,.0358939,0,0,1,9.43104,.0954494,"AARON'S INC",.8469769,"Business Services"
0,0,0,0,0,0,0,1076,2013,1,0,0,1,4,.412,1.425802,.3547343,7.510527,.0781009,.0318223,0,0,1,.169744,.0660396,"AARON'S INC",1.005319,"Business Services"
0,0,0,0,0,0,0,1076,2014,1,0,0,1,4,.46,1.294641,.2582332,7.806633,.2466913,.0193602,0,0,1,.2116,.0318429,"AARON'S INC",.9034315,"Business Services"
0,0,0,0,0,0,0,1076,2015,0,0,0,1,3,.683,.9817272,-.0184418,7.885658,.2295896,.0227754,0,0,1,.466489,.05104,"AARON'S INC",.8891084,"Business Services"
0,0,0,0,0,0,0,1076,2016,0,0,0,1,3,1.229,1.201832,.1838471,7.869301,.1903208,.0219644,0,0,1,1.510441,.0532481,"AARON'S INC",1.005786,"Business Services"
0,0,0,0,0,0,0,1076,2017,0,0,0,1,3,1.329,1.311879,.2714606,7.898138,.1369843,.0215332,0,0,1,1.766241,.108658,"AARON'S INC",.9906851,"Business Services"
0,0,0,0,0,0,0,1076,2018,0,0,0,1,3,1.072,1.281912,.2483529,7.946862,.1502647,.027893,0,0,1,1.149184,.0694133,"AARON'S INC",.9940047,"Business Services"
0,0,0,0,0,0,0,1078,1998,0,0,0,0,0,0,6.180339,1.821373,9.4892,.2344673,.0749548,.0924314,.097901,0,0,.1765431,"ABBOTT LABS",.4798245,"Pharmaceutical Products"
0,0,0,0,0,0,0,1078,2005,0,0,1,1,2,0,2.56801,.9431311,10.27991,.2276335,.0414359,.0630827,.0824803,0,0,.1157147,"ABBOTT LABS",.5979006,"Pharmaceutical Products"
0,0,0,0,0,0,0,1078,2006,0,0,1,1,2,0,2.68126,.9862869,10.49621,.3430501,.0369786,.1180068,.1899453,0,0,.0474528,"ABBOTT LABS",.6559018,"Pharmaceutical Products"
0,0,0,0,0,0,0,1078,2007,0,0,0,1,3,0,2.743693,1.009305,10.58946,.3075421,.0417034,.0630924,.09669,0,0,.0908073,"ABBOTT LABS",.6745035,"Pharmaceutical Products"
0,0,0,0,0,0,0,1078,2008,0,0,0,1,3,0,2.541137,.9326115,10.65536,.2914077,.0303571,.0656794,.0943548,0,0,.1116055,"ABBOTT LABS",.6569794,"Pharmaceutical Products"
0,0,0,0,0,0,0,1078,2012,0,1,0,1,4,.136,2.127996,.7551805,11.11595,.3045435,.0267017,.0685682,.115619,0,.018496,.0886878,"ABBOTT LABORATORIES",.670319,"Pharmaceutical Products"
0,0,0,0,0,0,0,1078,2013,0,1,0,1,4,.16,1.784616,.5792031,10.66786,.1527483,.026657,.0338044,.0664592,0,.0256,.0554792,"ABBOTT LABORATORIES",.6904977,"Pharmaceutical Products"
0,0,0,0,0,0,0,1078,2014,0,1,0,1,4,.168,2.102501,.7431276,10.62801,.1900666,.0260933,.0325863,.0664296,0,.028224,.0416959,"ABBOTT LABORATORIES",.6982872,"Pharmaceutical Products"
0,0,0,0,0,0,0,1078,2015,0,1,0,1,4,.176,2.069614,.7273623,10.62733,.2182219,.026911,.0340631,.0688557,0,.030976,.0631803,"ABBOTT LABORATORIES",.693132,"Pharmaceutical Products"
0,0,0,0,0,0,0,1078,2016,0,1,0,1,4,.235,1.677456,.5172784,10.87173,.4178407,.0212851,.0270003,.0681916,0,.055225,.0201838,"ABBOTT LABORATORIES",.7537653,"Pharmaceutical Products"
0,0,0,0,0,0,0,1078,2017,0,1,0,1,4,.275,1.8735,.6278083,11.24177,.3662164,.0148852,.0293115,.0815991,0,.075625,.0046295,"ABBOTT LABORATORIES",.6994107,"Pharmaceutical Products"
0,0,0,0,0,0,0,1078,2018,0,1,0,1,4,.219,2.405385,.87771,11.11503,.2912777,.0207524,.0342399,.0752175,0,.047961,.0347461,"ABBOTT LABORATORIES",.7124556,"Pharmaceutical Products"
0,0,0,0,0,0,0,1094,2014,0,1,0,1,4,1.927,1.61612,.4800279,6.148434,.2254372,.0024467,.0111585,.0102356,0,3.713329,.0619679,"ACETO CORP",.7843491,"Wholesale"
0,0,0,0,0,0,0,1094,2015,0,1,0,1,4,2.521,1.946587,.6660774,6.193944,.2249139,.0012598,.0121321,.0108639,0,6.355441,.0683642,"ACETO CORP",.8589589,"Wholesale"
0,0,0,0,0,0,0,1094,2016,0,1,0,1,4,2.428,1.618092,.4812476,6.293009,.2196632,.0020859,.014677,.0142107,0,5.895184,.0642889,"ACETO CORP",.8261595,"Wholesale"
0,0,0,0,0,0,0,1094,2017,0,0,0,1,3,3.174,1.050627,.0493872,6.94523,.340658,.0018234,.0076075,.0123731,0,10.07428,.0109576,"ACETO CORP",.7378591,"Wholesale"
0,0,0,0,0,0,0,1094,2018,0,0,0,1,3,3.226,1.008234,.0082,6.642518,.4138045,.0075239,.0103426,.0111519,0,10.40708,-.4121397,"ACETO CORP",.352812,"Wholesale"
0,0,0,0,0,0,0,1161,1998,0,0,0,1,1,0,1.512348,.4136635,8.355372,.3583373,.2342294,.1334132,.2231985,0,0,-.0244441,"ADVANCED MICRO DEVICES INC",.615355,"Electronic Equipment"
0,0,0,0,0,0,0,1161,1999,0,0,0,1,1,0,1.516703,.4165388,8.384278,.336914,.1415748,.1452329,.2224892,0,0,-.0203157,"ADVANCED MICRO DEVICES INC",.5506414,"Electronic Equipment"
0,0,0,0,0,0,0,1161,2000,0,0,0,1,1,0,1.167026,.154459,8.660035,.2249658,.1396517,.111274,.1381941,0,0,.1744307,"ADVANCED MICRO DEVICES INC",.44861,"Electronic Equipment"
0,0,0,0,0,0,0,1161,2001,0,0,0,1,1,0,1.308118,.2685896,8.638923,.1778998,.1202118,.1152651,.1672588,0,0,-.0107275,"ADVANCED MICRO DEVICES INC",.465403,"Electronic Equipment"
0,0,0,0,0,0,0,1161,2002,0,0,0,1,1,0,.9570019,-.0439499,8.633942,.3455176,.1254893,.1452372,.3025974,0,0,-.2318864,"ADVANCED MICRO DEVICES INC",.4838952,"Electronic Equipment"
0,0,0,0,0,0,0,1161,2003,0,0,0,1,1,0,1.369699,.3145907,8.867053,.2950152,.0803902,.1201062,.242124,0,0,-.0386914,"ADVANCED MICRO DEVICES INC",.5229442,"Electronic Equipment"
0,0,0,0,0,0,0,1161,2004,0,0,0,1,1,0,1.702658,.5321904,8.967531,.2370023,.1835923,.1191419,.1868612,0,0,.0116208,"ADVANCED MICRO DEVICES INC",.805706,"Electronic Equipment"
0,0,0,0,0,0,0,1161,2005,0,0,0,1,1,0,2.356062,.8569918,8.893954,.1880256,.2076316,.1569786,.1956409,0,0,.0227069,"ADVANCED MICRO DEVICES INC",.8152427,"Electronic Equipment"
0,0,0,0,0,0,0,1161,2006,0,0,0,1,1,0,1.404309,.3395454,9.483949,.2888111,.141249,.1232981,.2869534,0,0,-.0126265,"ADVANCED MICRO DEVICES INC",.7341459,"Electronic Equipment"
0,0,0,0,0,0,0,1161,2007,0,0,0,1,3,0,1.134113,.1258505,9.354441,.4561905,.1458874,.1599134,.3071678,0,0,-.2925541,"ADVANCED MICRO DEVICES INC",.7449817,"Electronic Equipment"
0,0,0,0,0,0,0,1161,2008,0,0,0,1,3,0,1.17022,.157192,8.945724,.6611075,.0813029,.2407818,.3181818,0,0,-.3145277,"ADVANCED MICRO DEVICES INC",.4947495,"Electronic Equipment"
0,0,0,0,0,0,0,1161,2011,0,0,0,1,3,.27,1.439887,.3645646,8.507951,.4069439,.0504643,.2548251,.2212241,0,.0729,.0999193,"ADVANCED MICRO DEVICES INC",.5076168,"Electronic Equipment"
